,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,job_category
325,2022,SE,FT,Data Analyst,124190,USD,124190,US,100,US,M,Data Analyst
326,2022,EX,FT,Data Analyst,130000,USD,130000,US,100,US,M,Data Analyst
327,2022,EX,FT,Data Analyst,110000,USD,110000,US,100,US,M,Data Analyst
328,2022,SE,FT,Data Analyst,170000,USD,170000,US,100,US,M,Data Analyst
329,2022,MI,FT,Data Analyst,115500,USD,115500,US,100,US,M,Data Analyst
330,2022,SE,FT,Data Analyst,112900,USD,112900,US,100,US,M,Data Analyst
331,2022,SE,FT,Data Analyst,90320,USD,90320,US,100,US,M,Data Analyst
332,2022,SE,FT,Data Analyst,112900,USD,112900,US,100,US,M,Data Analyst
333,2022,SE,FT,Data Analyst,90320,USD,90320,US,100,US,M,Data Analyst
334,2022,SE,FT,Data Engineer,165400,USD,165400,US,100,US,M,Data Engineer
335,2022,SE,FT,Data Engineer,132320,USD,132320,US,100,US,M,Data Engineer
336,2022,MI,FT,Data Analyst,167000,USD,167000,US,100,US,M,Data Analyst
337,2022,SE,FT,Data Engineer,243900,USD,243900,US,100,US,M,Data Engineer
338,2022,SE,FT,Data Analyst,136600,USD,136600,US,100,US,M,Data Analyst
339,2022,SE,FT,Data Analyst,109280,USD,109280,US,100,US,M,Data Analyst
340,2022,SE,FT,Data Engineer,128875,USD,128875,US,100,US,M,Data Engineer
341,2022,SE,FT,Data Engineer,93700,USD,93700,US,100,US,M,Data Engineer
342,2022,EX,FT,Head of Data Science,224000,USD,224000,US,100,US,M,Data Scientist
343,2022,EX,FT,Head of Data Science,167875,USD,167875,US,100,US,M,Data Scientist
344,2022,EX,FT,Analytics Engineer,175000,USD,175000,US,100,US,M,Data Analyst
345,2022,SE,FT,Data Engineer,156600,USD,156600,US,100,US,M,Data Engineer
346,2022,SE,FT,Data Engineer,108800,USD,108800,US,0,US,M,Data Engineer
347,2022,SE,FT,Data Scientist,95550,USD,95550,US,0,US,M,Data Scientist
348,2022,SE,FT,Data Engineer,113000,USD,113000,US,0,US,L,Data Engineer
349,2022,SE,FT,Data Analyst,135000,USD,135000,US,100,US,M,Data Analyst
350,2022,SE,FT,Data Science Manager,161342,USD,161342,US,100,US,M,Data Scientist
351,2022,SE,FT,Data Science Manager,137141,USD,137141,US,100,US,M,Data Scientist
352,2022,SE,FT,Data Scientist,167000,USD,167000,US,100,US,M,Data Scientist
353,2022,SE,FT,Data Scientist,123000,USD,123000,US,100,US,M,Data Scientist
354,2022,SE,FT,Data Engineer,60000,GBP,78526,GB,0,GB,M,Data Engineer
355,2022,SE,FT,Data Engineer,50000,GBP,65438,GB,0,GB,M,Data Engineer
356,2022,SE,FT,Data Scientist,150000,USD,150000,US,0,US,M,Data Scientist
357,2022,SE,FT,Data Scientist,211500,USD,211500,US,100,US,M,Data Scientist
358,2022,SE,FT,Data Architect,192400,USD,192400,CA,100,CA,M,Data Scientist
359,2022,SE,FT,Data Architect,90700,USD,90700,CA,100,CA,M,Data Scientist
360,2022,SE,FT,Data Analyst,130000,USD,130000,CA,100,CA,M,Data Analyst
361,2022,SE,FT,Data Analyst,61300,USD,61300,CA,100,CA,M,Data Analyst
362,2022,SE,FT,Data Analyst,130000,USD,130000,CA,100,CA,M,Data Analyst
363,2022,SE,FT,Data Analyst,61300,USD,61300,CA,100,CA,M,Data Analyst
364,2022,SE,FT,Data Engineer,160000,USD,160000,US,0,US,L,Data Engineer
365,2022,SE,FT,Data Scientist,138600,USD,138600,US,100,US,M,Data Scientist
366,2022,SE,FT,Data Engineer,136000,USD,136000,US,0,US,M,Data Engineer
367,2022,MI,FT,Data Analyst,58000,USD,58000,US,0,US,S,Data Analyst
368,2022,EX,FT,Analytics Engineer,135000,USD,135000,US,100,US,M,Data Analyst
369,2022,SE,FT,Data Scientist,170000,USD,170000,US,100,US,M,Data Scientist
370,2022,SE,FT,Data Scientist,123000,USD,123000,US,100,US,M,Data Scientist
371,2022,SE,FT,Machine Learning Engineer,189650,USD,189650,US,0,US,M,AI Professionals
372,2022,SE,FT,Machine Learning Engineer,164996,USD,164996,US,0,US,M,AI Professionals
373,2022,MI,FT,ETL Developer,50000,EUR,54957,GR,0,GR,M,AI Professionals
374,2022,MI,FT,ETL Developer,50000,EUR,54957,GR,0,GR,M,AI Professionals
375,2022,EX,FT,Lead Data Engineer,150000,CAD,118187,CA,100,CA,S,Data Engineer
376,2022,SE,FT,Data Analyst,132000,USD,132000,US,0,US,M,Data Analyst
377,2022,SE,FT,Data Engineer,165400,USD,165400,US,100,US,M,Data Engineer
378,2022,SE,FT,Data Architect,208775,USD,208775,US,100,US,M,Data Engineer
379,2022,SE,FT,Data Architect,147800,USD,147800,US,100,US,M,Data Engineer
380,2022,SE,FT,Data Engineer,136994,USD,136994,US,100,US,M,Data Engineer
381,2022,SE,FT,Data Engineer,101570,USD,101570,US,100,US,M,Data Engineer
382,2022,SE,FT,Data Analyst,128875,USD,128875,US,100,US,M,Data Analyst
383,2022,SE,FT,Data Analyst,93700,USD,93700,US,100,US,M,Data Analyst
384,2022,EX,FT,Head of Machine Learning,6000000,INR,79039,IN,50,IN,L,AI Professionals
385,2022,SE,FT,Data Engineer,132320,USD,132320,US,100,US,M,Data Engineer
386,2022,EN,FT,Machine Learning Engineer,28500,GBP,37300,GB,100,GB,L,AI Professionals
387,2022,SE,FT,Data Analyst,164000,USD,164000,US,0,US,M,Data Analyst
388,2022,SE,FT,Data Engineer,155000,USD,155000,US,100,US,M,Data Engineer
389,2022,MI,FT,Machine Learning Engineer,95000,GBP,124333,GB,0,GB,M,AI Professionals
390,2022,MI,FT,Machine Learning Engineer,75000,GBP,98158,GB,0,GB,M,AI Professionals
391,2022,MI,FT,AI Scientist,120000,USD,120000,US,0,US,M,AI Professionals
392,2022,SE,FT,Data Analyst,112900,USD,112900,US,100,US,M,Data Analyst
393,2022,SE,FT,Data Analyst,90320,USD,90320,US,100,US,M,Data Analyst
394,2022,SE,FT,Data Analytics Manager,145000,USD,145000,US,100,US,M,Data Analyst
395,2022,SE,FT,Data Analytics Manager,105400,USD,105400,US,100,US,M,Data Analyst
396,2022,MI,FT,Machine Learning Engineer,80000,EUR,87932,FR,100,DE,M,AI Professionals
397,2022,MI,FT,Data Engineer,90000,GBP,117789,GB,0,GB,M,Data Engineer
398,2022,SE,FT,Data Scientist,215300,USD,215300,US,100,US,L,Data Scientist
399,2022,SE,FT,Data Scientist,158200,USD,158200,US,100,US,L,Data Scientist
400,2022,SE,FT,Data Engineer,209100,USD,209100,US,100,US,L,Data Engineer
401,2022,SE,FT,Data Engineer,154600,USD,154600,US,100,US,L,Data Engineer
402,2022,SE,FT,Data Analyst,115934,USD,115934,US,0,US,M,Data Analyst
403,2022,SE,FT,Data Analyst,81666,USD,81666,US,0,US,M,Data Analyst
404,2022,SE,FT,Data Engineer,175000,USD,175000,US,100,US,M,Data Engineer
405,2022,MI,FT,Data Engineer,75000,GBP,98158,GB,0,GB,M,Data Engineer
406,2022,MI,FT,Data Analyst,58000,USD,58000,US,0,US,S,Data Analyst
407,2022,SE,FT,Data Engineer,183600,USD,183600,US,100,US,L,Data Engineer
408,2022,MI,FT,Data Analyst,40000,GBP,52351,GB,100,GB,M,Data Analyst
409,2022,SE,FT,Data Scientist,180000,USD,180000,US,100,US,M,Data Scientist
410,2022,MI,FT,Data Scientist,55000,GBP,71982,GB,0,GB,M,Data Scientist
411,2022,MI,FT,Data Scientist,35000,GBP,45807,GB,0,GB,M,Data Scientist
412,2022,MI,FT,Data Engineer,60000,EUR,65949,GR,100,GR,M,Data Engineer
413,2022,MI,FT,Data Engineer,45000,EUR,49461,GR,100,GR,M,Data Engineer
414,2022,MI,FT,Data Engineer,60000,GBP,78526,GB,100,GB,M,Data Engineer
415,2022,MI,FT,Data Engineer,45000,GBP,58894,GB,100,GB,M,Data Engineer
416,2022,SE,FT,Data Scientist,260000,USD,260000,US,100,US,M,Data Scientist
417,2022,SE,FT,Data Science Engineer,60000,USD,60000,AR,100,MX,L,Data Scientist
418,2022,MI,FT,Data Engineer,63900,USD,63900,US,0,US,M,Data Engineer
419,2022,MI,FT,Machine Learning Scientist,160000,USD,160000,US,100,US,L,Data Scientist
420,2022,MI,FT,Machine Learning Scientist,112300,USD,112300,US,100,US,L,Data Scientist
421,2022,MI,FT,Data Science Manager,241000,USD,241000,US,100,US,M,Data Scientist
422,2022,MI,FT,Data Science Manager,159000,USD,159000,US,100,US,M,Data Scientist
423,2022,SE,FT,Data Scientist,180000,USD,180000,US,0,US,M,Data Scientist
424,2022,SE,FT,Data Scientist,80000,USD,80000,US,0,US,M,Data Scientist
425,2022,MI,FT,Data Engineer,82900,USD,82900,US,0,US,M,Data Engineer
426,2022,SE,FT,Data Engineer,100800,USD,100800,US,100,US,L,Data Engineer
427,2022,MI,FT,Data Engineer,45000,EUR,49461,ES,100,ES,M,Data Engineer
428,2022,SE,FT,Data Scientist,140400,USD,140400,US,0,US,L,Data Scientist
429,2022,MI,FT,Data Analyst,30000,GBP,39263,GB,100,GB,M,Data Analyst
430,2022,MI,FT,Data Analyst,40000,EUR,43966,ES,100,ES,M,Data Analyst
431,2022,MI,FT,Data Analyst,30000,EUR,32974,ES,100,ES,M,Data Analyst
432,2022,MI,FT,Data Engineer,80000,EUR,87932,ES,100,ES,M,Data Engineer
433,2022,MI,FT,Data Engineer,70000,EUR,76940,ES,100,ES,M,Data Engineer
434,2022,MI,FT,Data Engineer,80000,GBP,104702,GB,100,GB,M,Data Engineer
435,2022,MI,FT,Data Engineer,70000,GBP,91614,GB,100,GB,M,Data Engineer
436,2022,MI,FT,Data Engineer,60000,EUR,65949,ES,100,ES,M,Data Engineer
437,2022,MI,FT,Data Engineer,80000,EUR,87932,GR,100,GR,M,Data Engineer
438,2022,SE,FT,Machine Learning Engineer,189650,USD,189650,US,0,US,M,AI Professionals
439,2022,SE,FT,Machine Learning Engineer,164996,USD,164996,US,0,US,M,AI Professionals
440,2022,MI,FT,Data Analyst,40000,EUR,43966,GR,100,GR,M,Data Analyst
441,2022,MI,FT,Data Analyst,30000,EUR,32974,GR,100,GR,M,Data Analyst
442,2022,MI,FT,Data Engineer,75000,GBP,98158,GB,100,GB,M,Data Engineer
443,2022,MI,FT,Data Engineer,60000,GBP,78526,GB,100,GB,M,Data Engineer
444,2022,SE,FT,Data Scientist,215300,USD,215300,US,0,US,L,Data Scientist
445,2022,MI,FT,Data Engineer,70000,EUR,76940,GR,100,GR,M,Data Engineer
446,2022,SE,FT,Data Engineer,209100,USD,209100,US,100,US,L,Data Engineer
447,2022,SE,FT,Data Engineer,154600,USD,154600,US,100,US,L,Data Engineer
448,2022,SE,FT,Data Engineer,180000,USD,180000,US,100,US,M,Data Engineer
449,2022,EN,FT,ML Engineer,20000,EUR,21983,PT,100,PT,L,Data Engineer
450,2022,SE,FT,Data Engineer,80000,USD,80000,US,100,US,M,Data Engineer
451,2022,MI,FT,Machine Learning Developer,100000,CAD,78791,CA,100,CA,M,AI Professionals
452,2022,EX,FT,Director of Data Science,250000,CAD,196979,CA,50,CA,L,Data Scientist
453,2022,MI,FT,Machine Learning Engineer,120000,USD,120000,US,100,US,S,AI Professionals
454,2022,EN,FT,Computer Vision Engineer,125000,USD,125000,US,0,US,M,AI Professionals
455,2022,MI,FT,NLP Engineer,240000,CNY,37236,US,50,US,L,AI Professionals
456,2022,SE,FT,Data Engineer,105000,USD,105000,US,100,US,M,Data Engineer
457,2022,SE,FT,Lead Machine Learning Engineer,80000,EUR,87932,DE,0,DE,M,AI Professionals
458,2022,MI,FT,Business Data Analyst,1400000,INR,18442,IN,100,IN,M,Data Analyst
459,2022,MI,FT,Data Scientist,2400000,INR,31615,IN,100,IN,L,Data Scientist
460,2022,MI,FT,Machine Learning Infrastructure Engineer,53000,EUR,58255,PT,50,PT,L,AI Professionals
461,2022,EN,FT,Financial Data Analyst,100000,USD,100000,US,50,US,L,Data Analyst
463,2022,EN,FT,Data Scientist,1400000,INR,18442,IN,100,IN,M,Data Scientist
464,2022,SE,FT,Principal Data Scientist,148000,EUR,162674,DE,100,DE,M,Data Scientist
465,2022,EN,FT,Data Engineer,120000,USD,120000,US,100,US,M,Data Engineer
466,2022,SE,FT,Research Scientist,144000,USD,144000,US,50,US,L,Data Scientist
467,2022,SE,FT,Data Scientist,104890,USD,104890,US,100,US,M,Data Scientist
468,2022,SE,FT,Data Engineer,100000,USD,100000,US,100,US,M,Data Engineer
469,2022,SE,FT,Data Scientist,140000,USD,140000,US,100,US,M,Data Scientist
470,2022,MI,FT,Data Analyst,135000,USD,135000,US,100,US,M,Data Analyst
471,2022,MI,FT,Data Analyst,50000,USD,50000,US,100,US,M,Data Analyst
472,2022,SE,FT,Data Scientist,220000,USD,220000,US,100,US,M,Data Scientist
473,2022,SE,FT,Data Scientist,140000,USD,140000,US,100,US,M,Data Scientist
474,2022,MI,FT,Data Scientist,140000,GBP,183228,GB,0,GB,M,Data Scientist
475,2022,MI,FT,Data Scientist,70000,GBP,91614,GB,0,GB,M,Data Scientist
476,2022,SE,FT,Data Scientist,185100,USD,185100,US,100,US,M,Data Scientist
477,2022,SE,FT,Machine Learning Engineer,220000,USD,220000,US,100,US,M,AI Professionals
478,2022,MI,FT,Data Scientist,200000,USD,200000,US,100,US,M,Data Scientist
479,2022,MI,FT,Data Scientist,120000,USD,120000,US,100,US,M,Data Scientist
480,2022,SE,FT,Machine Learning Engineer,120000,USD,120000,AE,100,AE,S,AI Professionals
481,2022,SE,FT,Machine Learning Engineer,65000,USD,65000,AE,100,AE,S,AI Professionals
482,2022,EX,FT,Data Engineer,324000,USD,324000,US,100,US,M,Data Engineer
483,2022,EX,FT,Data Engineer,216000,USD,216000,US,100,US,M,Data Engineer
484,2022,SE,FT,Data Engineer,210000,USD,210000,US,100,US,M,Data Engineer
485,2022,SE,FT,Machine Learning Engineer,120000,USD,120000,US,100,US,M,AI Professionals
486,2022,SE,FT,Data Scientist,230000,USD,230000,US,100,US,M,Data Scientist
490,2022,SE,FT,Head of Data,200000,USD,200000,MY,100,US,M,Data Scientist
491,2022,MI,FT,Principal Data Analyst,75000,USD,75000,CA,100,CA,S,Data Analyst
492,2022,MI,FT,Data Scientist,150000,PLN,35590,PL,100,PL,L,Data Scientist
493,2022,SE,FT,Machine Learning Developer,100000,CAD,78791,CA,100,CA,M,AI Professionals
494,2022,SE,FT,Data Scientist,100000,USD,100000,BR,100,US,M,Data Scientist
495,2022,MI,FT,Machine Learning Scientist,153000,USD,153000,US,50,US,M,Data Scientist
496,2022,EN,FT,Data Engineer,52800,EUR,58035,PK,100,DE,M,Data Engineer
497,2022,SE,FT,Data Scientist,165000,USD,165000,US,100,US,M,Data Scientist
498,2022,SE,FT,Research Scientist,85000,EUR,93427,FR,50,FR,L,Data Scientist
499,2022,EN,FT,Data Scientist,66500,CAD,52396,CA,100,CA,L,Data Scientist
500,2022,SE,FT,Machine Learning Engineer,57000,EUR,62651,NL,100,NL,L,AI Professionals
501,2022,MI,FT,Head of Data,30000,EUR,32974,EE,100,EE,S,AI Professionals
502,2022,EN,FT,Data Scientist,40000,USD,40000,JP,100,MY,L,Data Scientist
503,2022,MI,FT,Machine Learning Engineer,121000,AUD,87425,AU,100,AU,L,AI Professionals
504,2022,SE,FT,Data Engineer,115000,USD,115000,US,100,US,M,Data Engineer
505,2022,EN,FT,Data Scientist,120000,AUD,86703,AU,50,AU,M,Data Scientist
506,2022,MI,FT,Applied Machine Learning Scientist,75000,USD,75000,BO,100,US,L,Data Scientist
507,2022,MI,FT,Research Scientist,59000,EUR,64849,AT,0,AT,L,Data Scientist
508,2022,EN,FT,Research Scientist,120000,USD,120000,US,100,US,L,Data Scientist
509,2022,MI,FT,Applied Data Scientist,157000,USD,157000,US,100,US,L,Data Scientist
510,2022,EN,FT,Computer Vision Software Engineer,150000,USD,150000,AU,100,AU,S,AI Professionals
511,2022,MI,FT,Business Data Analyst,90000,CAD,70912,CA,50,CA,L,Data Analyst
512,2022,EN,FT,Data Engineer,65000,USD,65000,US,100,US,S,Data Engineer
513,2022,SE,FT,Machine Learning Engineer,65000,EUR,71444,IE,100,IE,S,AI Professionals
514,2022,EN,FT,Data Analytics Engineer,20000,USD,20000,PK,0,PK,M,Data Analyst
515,2022,MI,FT,Data Scientist,48000,USD,48000,RU,100,US,S,Data Scientist
516,2022,SE,FT,Data Science Manager,152500,USD,152500,US,100,US,M,Data Scientist
517,2022,MI,FT,Data Engineer,62000,EUR,68147,FR,100,FR,M,Data Engineer
518,2022,MI,FT,Data Scientist,115000,CHF,122346,CH,0,CH,L,Data Scientist
519,2022,SE,FT,Applied Data Scientist,380000,USD,380000,US,100,US,L,Data Scientist
520,2022,MI,FT,Data Scientist,88000,CAD,69336,CA,100,CA,M,Data Scientist
521,2022,EN,FT,Computer Vision Engineer,10000,USD,10000,PT,100,LU,M,AI Professionals
522,2022,MI,FT,Data Analyst,20000,USD,20000,GR,100,GR,S,Data Analyst
523,2022,SE,FT,Data Analytics Lead,405000,USD,405000,US,100,US,L,Data Analyst
524,2022,MI,FT,Data Scientist,135000,USD,135000,US,100,US,L,Data Scientist
525,2022,SE,FT,Applied Data Scientist,177000,USD,177000,US,100,US,L,Data Scientist
526,2022,MI,FT,Data Scientist,78000,USD,78000,US,100,US,M,Data Scientist
527,2022,SE,FT,Data Analyst,135000,USD,135000,US,100,US,M,Data Analyst
528,2022,SE,FT,Data Analyst,100000,USD,100000,US,100,US,M,Data Analyst
529,2022,SE,FT,Data Analyst,90320,USD,90320,US,100,US,M,Data Analyst
530,2022,MI,FT,Data Analyst,85000,USD,85000,CA,0,CA,M,Data Analyst
531,2022,MI,FT,Data Analyst,75000,USD,75000,CA,0,CA,M,Data Analyst
532,2022,SE,FT,Machine Learning Engineer,214000,USD,214000,US,100,US,M,AI Professionals
533,2022,SE,FT,Machine Learning Engineer,192600,USD,192600,US,100,US,M,AI Professionals
534,2022,SE,FT,Data Architect,266400,USD,266400,US,100,US,M,AI Professionals
535,2022,SE,FT,Data Architect,213120,USD,213120,US,100,US,M,AI Professionals
536,2022,SE,FT,Data Analyst,112900,USD,112900,US,100,US,M,Data Analyst
537,2022,SE,FT,Data Engineer,155000,USD,155000,US,100,US,M,Data Engineer
538,2022,MI,FT,Data Scientist,141300,USD,141300,US,0,US,M,Data Scientist
539,2022,MI,FT,Data Scientist,102100,USD,102100,US,0,US,M,Data Scientist
540,2022,SE,FT,Data Analyst,115934,USD,115934,US,100,US,M,Data Analyst
541,2022,SE,FT,Data Analyst,81666,USD,81666,US,100,US,M,Data Analyst
542,2022,MI,FT,Data Engineer,206699,USD,206699,US,0,US,M,Data Engineer
543,2022,MI,FT,Data Engineer,99100,USD,99100,US,0,US,M,Data Engineer
544,2022,SE,FT,Data Engineer,130000,USD,130000,US,100,US,M,Data Engineer
545,2022,SE,FT,Data Engineer,115000,USD,115000,US,100,US,M,Data Engineer
546,2022,SE,FT,Data Engineer,110500,USD,110500,US,100,US,M,Data Engineer
547,2022,SE,FT,Data Engineer,130000,USD,130000,US,100,US,M,Data Engineer
548,2022,SE,FT,Data Analyst,99050,USD,99050,US,100,US,M,Data Analyst
549,2022,SE,FT,Data Engineer,160000,USD,160000,US,100,US,M,Data Engineer
550,2022,SE,FT,Data Scientist,205300,USD,205300,US,0,US,L,Data Scientist
551,2022,SE,FT,Data Scientist,140400,USD,140400,US,0,US,L,Data Scientist
552,2022,SE,FT,Data Scientist,176000,USD,176000,US,100,US,M,Data Scientist
553,2022,SE,FT,Data Scientist,144000,USD,144000,US,100,US,M,Data Scientist
554,2022,SE,FT,Data Engineer,200100,USD,200100,US,100,US,M,Data Engineer
555,2022,SE,FT,Data Engineer,160000,USD,160000,US,100,US,M,Data Engineer
556,2022,SE,FT,Data Engineer,145000,USD,145000,US,100,US,M,Data Engineer
557,2022,SE,FT,Data Engineer,70500,USD,70500,US,0,US,M,Data Engineer
558,2022,SE,FT,Data Scientist,205300,USD,205300,US,0,US,M,Data Scientist
559,2022,SE,FT,Data Scientist,140400,USD,140400,US,0,US,M,Data Scientist
560,2022,SE,FT,Analytics Engineer,205300,USD,205300,US,0,US,M,Data Analyst
561,2022,SE,FT,Analytics Engineer,184700,USD,184700,US,0,US,M,Data Analyst
562,2022,SE,FT,Data Engineer,175100,USD,175100,US,100,US,M,Data Engineer
563,2022,SE,FT,Data Engineer,140250,USD,140250,US,100,US,M,Data Engineer
564,2022,SE,FT,Data Analyst,116150,USD,116150,US,100,US,M,Data Analyst
565,2022,SE,FT,Data Engineer,54000,USD,54000,US,0,US,M,Data Engineer
566,2022,SE,FT,Data Analyst,170000,USD,170000,US,100,US,M,Data Analyst
567,2022,MI,FT,Data Analyst,50000,GBP,65438,GB,0,GB,M,Data Analyst
568,2022,SE,FT,Data Analyst,80000,USD,80000,US,100,US,M,Data Analyst
569,2022,SE,FT,Data Scientist,140000,USD,140000,US,100,US,M,Data Scientist
570,2022,SE,FT,Data Scientist,210000,USD,210000,US,100,US,M,Data Scientist
571,2022,SE,FT,Data Scientist,140000,USD,140000,US,100,US,M,Data Scientist
572,2022,SE,FT,Data Analyst,100000,USD,100000,US,100,US,M,Data Analyst
573,2022,SE,FT,Data Analyst,69000,USD,69000,US,100,US,M,Data Analyst
574,2022,SE,FT,Data Scientist,210000,USD,210000,US,100,US,M,Data Scientist
575,2022,SE,FT,Data Scientist,140000,USD,140000,US,100,US,M,Data Scientist
576,2022,SE,FT,Data Scientist,210000,USD,210000,US,100,US,M,Data Scientist
577,2022,SE,FT,Data Analyst,150075,USD,150075,US,100,US,M,Data Analyst
578,2022,SE,FT,Data Engineer,100000,USD,100000,US,100,US,M,Data Engineer
579,2022,SE,FT,Data Engineer,25000,USD,25000,US,100,US,M,Data Engineer
580,2022,SE,FT,Data Analyst,126500,USD,126500,US,100,US,M,Data Analyst
581,2022,SE,FT,Data Analyst,106260,USD,106260,US,100,US,M,Data Analyst
582,2022,SE,FT,Data Engineer,220110,USD,220110,US,100,US,M,Data Engineer
583,2022,SE,FT,Data Engineer,160080,USD,160080,US,100,US,M,Data Engineer
584,2022,SE,FT,Data Analyst,105000,USD,105000,US,100,US,M,Data Analyst
585,2022,SE,FT,Data Analyst,110925,USD,110925,US,100,US,M,Data Analyst
586,2022,MI,FT,Data Analyst,35000,GBP,45807,GB,0,GB,M,Data Analyst
587,2022,SE,FT,Data Scientist,140000,USD,140000,US,100,US,M,Data Scientist
588,2022,SE,FT,Data Analyst,99000,USD,99000,US,0,US,M,Data Analyst
589,2022,SE,FT,Data Analyst,60000,USD,60000,US,100,US,M,Data Analyst
590,2022,SE,FT,Data Architect,192564,USD,192564,US,100,US,M,Data Analyst
591,2022,SE,FT,Data Architect,144854,USD,144854,US,100,US,M,Data Analyst
592,2022,SE,FT,Data Scientist,230000,USD,230000,US,100,US,M,Data Scientist
593,2022,SE,FT,Data Scientist,150000,USD,150000,US,100,US,M,Data Scientist
594,2022,SE,FT,Data Analytics Manager,150260,USD,150260,US,100,US,M,Data Analyst
595,2022,SE,FT,Data Analytics Manager,109280,USD,109280,US,100,US,M,Data Analyst
596,2022,SE,FT,Data Scientist,210000,USD,210000,US,100,US,M,Data Scientist
597,2022,SE,FT,Data Analyst,170000,USD,170000,US,100,US,M,Data Analyst
598,2022,MI,FT,Data Scientist,160000,USD,160000,US,100,US,M,Data Scientist
599,2022,MI,FT,Data Scientist,130000,USD,130000,US,100,US,M,Data Scientist
600,2022,EN,FT,Data Analyst,67000,USD,67000,CA,0,CA,M,Data Analyst
601,2022,EN,FT,Data Analyst,52000,USD,52000,CA,0,CA,M,Data Analyst
602,2022,SE,FT,Data Engineer,154000,USD,154000,US,100,US,M,Data Engineer
603,2022,SE,FT,Data Engineer,126000,USD,126000,US,100,US,M,Data Engineer
604,2022,SE,FT,Data Analyst,129000,USD,129000,US,0,US,M,Data Analyst
605,2022,SE,FT,Data Analyst,150000,USD,150000,US,100,US,M,Data Analyst
606,2022,MI,FT,AI Scientist,200000,USD,200000,IN,100,US,L,AI Professionals
